model,auc,precision,accuracy,n,n_p,n_n,week,feat_type,course
ensemble,0.7197920267897691,0.486552567237164,0.7930204572803851,1662,333,1329,1,sum,digitaldemocracy
bn,0.5017420636754311,0.157894736842105,0.837471783295711,1329,190,1139,2,sum,digitaldemocracy
tree,0.5,,0.8570353649360419,1329,190,1139,2,sum,digitaldemocracy
ensemble,0.50262002680098,0.166666666666667,0.838976674191121,1329,190,1139,2,sum,digitaldemocracy
bn,0.5982027865589511,0.25,0.8358208955223879,1139,117,1022,3,sum,digitaldemocracy
tree,0.5,,0.8972783143107991,1139,117,1022,3,sum,digitaldemocracy
ensemble,0.5,,0.8972783143107991,1139,117,1022,3,sum,digitaldemocracy
bn,0.603287623066104,0.363636363636364,0.8101761252446179,1022,158,864,4,sum,digitaldemocracy
tree,0.5,,0.8454011741682971,1022,158,864,4,sum,digitaldemocracy
ensemble,0.5,,0.8454011741682971,1022,158,864,4,sum,digitaldemocracy
bn,0.775847184321508,0.331564986737401,0.69212962962963,864,139,725,5,sum,digitaldemocracy
tree,0.5,,0.83912037037037,864,139,725,5,sum,digitaldemocracy
ensemble,0.5,,0.83912037037037,864,139,725,5,sum,digitaldemocracy
